CLAVE_ID,PILARES,ALCALDIA,ZONA,MODELO,EQUIPOS 8GB,INACTIVOS,% PASTA,MOUSE,TECLADOS
169_NT_GAM,ARAGÓN VII,GUSTAVO A. MADERO,NORTE,DELL 5090,19 / 19,1,0%,0,0
018_CO_CUH,ATLAMPA,CUAUHTEMOC,CENTRO,HP 280,24 / 24,0,0%,0,0
073_CO_VCA,AVENIDA DEL TALLER,VENUSTIANO CARRANZA,CENTRO,HP 705,21 / 21,0,0%,0,0
115_IZ_IZP,BAMBÚ,IZTAPALAPA,ORIENTE,HP 705,10 / 37,0,0%,0,0
104_PT_AOB,BARRIO NORTE,ALVARO OBREGON,PONIENTE,HP 705,10 / 35,2,0%,0,0
147_SP_TLP,BELVEDERE,TLALPAN,SUR PONIENTE,HP 705 (13) / DELL 5000 (5),10 / 18,1,0%,0,0
024_PT_AOB,BELÉN DE LAS FLORES,ALVARO OBREGON,PONIENTE,HP 280,9 / 40,0,0%,0,0
103_NT_GAM,BENEMÉRITO DE LAS AMÉRICAS,GUSTAVO A. MADERO,NORTE,HP 705,10 / 24,0,0%,0,0
007_NT_GAM,BENITA GALEANA,GUSTAVO A. MADERO,NORTE,DELL 3060,0 / 32,1,0%,0,0
078_PT_CUM,BENITO JUÁREZ GARCÍA,CUAJIMALPA DE MORELOS,PONIENTE,HP 705,10 / 40,1,0%,0,0
131_CO_CUH,BENITO JUÁREZ Y EL LIBERALISMO MEXICANO,CUAUHTEMOC,CENTRO,HP 705,11 / 17,0,0%,0,0
252_SU_XOC,BODOQUEPA,XOCHIMILCO,SUR,DELL 5090,30 / 30,0,0%,0,0
087_CO_CUH,BOLEO,CUAUHTEMOC,CENTRO,HP 705,14 / 17,3,0%,0,0
199_NT_GAM,BOSQUE DE ARAGÓN,GUSTAVO A. MADERO,NORTE,DELL 5090,30 / 30,0,0%,0,0
148_SP_TLP,BOSQUES,TLALPAN,SUR PONIENTE,HP 705,20 / 40,2,0%,0,0
218_IZ_IZP,CALMECAC,IZTAPALAPA,ORIENTE,HP 705,18 / 40,0,0%,0,0
123_CO_VCA,CANDELARIA,VENUSTIANO CARRANZA,CENTRO,HP 705,24 / 40,3,0%,0,0
264_NT_GAM,CANDELARIA TICOMÁN,GUSTAVO A. MADERO,NORTE,DELL 5000,40 / 40,1,0%,0,0
037_PT_MIH,CANEGUÍN,MIGUEL HIDALGO,PONIENTE,HP 705,0 / 40,3,0%,0,0
022_SP_COY,CANTERA,COYOACAN,SUR PONIENTE,HP 280,8 / 40,3,0%,0,0
120_CO_BEJ,CARLOS MONSIVÁIS,BENITO JUAREZ,CENTRO,HP 705,5 / 20,0,0%,0,0
219_IZ_IZP,CARLOS PACHECO,IZTAPALAPA,ORIENTE,HP 705,40 / 40,0,0%,0,0
124_IZ_IZP,CARLOTA BOTEY,IZTAPALAPA,ORIENTE,HP 705,15 / 25,0,0%,0,0
261_SP_COY,CARMEN SERDÁN,COYOACAN,SUR PONIENTE,DELL 5000,39 / 39,1,0%,0,0
177_PT_MIH,CASA AMARILLA,MIGUEL HIDALGO,PONIENTE,HP 705,9 / 40,1,0%,0,0
114_IZ_IZP,CASA DEL PUEBLO,IZTAPALAPA,ORIENTE,HP 705,10 / 40,0,0%,0,0
201_NT_GAM,CASTILLO CHICO,GUSTAVO A. MADERO,NORTE,DELL 5090,40 / 40,1,0%,0,0
055_NT_GAM,CENTENARIO,GUSTAVO A. MADERO,NORTE,HP 705,10 / 19,1,0%,0,0
020_IZ_IZP,CENTRAL DE ABASTO,IZTAPALAPA,ORIENTE,HP 280 (28) - HP 705 (12),10 / 40,0,0%,0,0
286_IZ_IZP,CENTRAL DE ABASTO II,IZTAPALAPA,ORIENTE,DELL 5090,20 / 20,0,0%,0,0
077_IZ_IZP,CERRO AZUL,IZTAPALAPA,ORIENTE,HP 705,10 / 27,0,0%,0,0
027_IZ_IZP,CERRO DE LA ESTRELLA,IZTAPALAPA,ORIENTE,HP 280,40 / 40,4,0%,0,0
093_CO_CUH,CHABACANO,CUAUHTEMOC,CENTRO,HP 705,10 / 25,2,0%,0,0
265_NT_GAM,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,NORTE,DELL 5090,30 / 30,0,0%,0,0
108_PT_AOB,CHAMONTOYA,ALVARO OBREGON,PONIENTE,HP 705,20 / 30,0,0%,0,0
149_SP_TLP,CHICHICASPATL,TLALPAN,SUR PONIENTE,HP 705,5 / 20,3,0%,0,0
307_SP_TLP,CHICHICASPATL II,TLALPAN,SUR PONIENTE,HP 705,0 / 8,0,0%,0,0
145_SU_TLH,COCODRILO,TLAHUAC,SUR,HP 705,20 / 40,1,0%,0,0
095_NT_AZC,COLTONGO,AZCAPOTZALCO,NORTE,HP 705,10 / 37,2,0%,0,0
160_NT_GAM,COMPOSITORES MEXICANOS,GUSTAVO A. MADERO,NORTE,DELL 5090,26 / 26,1,0%,0,0
100_IZ_IZP,CONSTITUCIÓN DE 1917,IZTAPALAPA,ORIENTE,HP 705,9 / 26,0,0%,0,0
158_PT_CUM,CONTADERO,CUAJIMALPA DE MORELOS,PONIENTE,Dell 5090,33 / 38,2,0%,0,0
019_IZ_IZP,COOPEREMOS PUEBLO,IZTAPALAPA,ORIENTE,HP 280,10 / 22,0,0%,0,0
250_CO_VCA,COPIL,VENUSTIANO CARRANZA,CENTRO,HP 705,40 / 40,4,0%,0,0
125_CO_IZT,COYUYA,IZTACALCO,CENTRO,HP 705,13 / 20,1,0%,0,0
291_PT_CUM,CUAJIMALPA,CUAJIMALPA DE MORELOS,PONIENTE,HP 705,20 / 35,0,0%,0,0
080_SP_TLP,CUCHILLA DE PADIERNA,TLALPAN,SUR PONIENTE,HP 705,8 / 29,2,0%,0,0
161_NT_GAM,CUCHILLA DEL TESORO,GUSTAVO A. MADERO,NORTE,HP 705,10 / 40,1,0%,0,0
243_SP_TLP,CUICUILCO,TLALPAN,SUR PONIENTE,DELL 5000,40 / 40,0,0%,0,0
277_SP_TLP,DAVID CERVANTES,TLALPAN,SUR PONIENTE,DELL 5000,40 / 40,0,0%,0,0
228_IZ_IZP,DESARROLLO URBANO QUETZALCÓATL,IZTAPALAPA,ORIENTE,HP 705 (14) - DELL 5000 (7),19 / 21,0,0%,0,0
242_SP_TLP,DIF MIGUEL HIDALGO,TLALPAN,SUR PONIENTE,HP 705,18 / 39,0,0%,0,0
038_SP_TLP,ECOGUARDAS,TLALPAN,SUR PONIENTE,HP 705,0 / 39,2,0%,0,0
092_NT_GAM,EJIDOS SAN JUAN DE ARAGÓN,GUSTAVO A. MADERO,NORTE,HP 705,10 / 17,0,0%,0,0
268_IZ_IZP,EJÉRCITO CONSTITUCIONALISTA,IZTAPALAPA,ORIENTE,HP 705,10 / 37,0,0%,0,0
266_IZ_IZP,EJÉRCITO DE ORIENTE,IZTAPALAPA,ORIENTE,DELL 5000,40 / 40,1,0%,0,0
294_PT_AOB,EL BOSQUE,ALVARO OBREGON,PONIENTE,DELL 5000,40 / 40,0,0%,0,0
004_PT_AOB,EL CAPULÍN,ALVARO OBREGON,PONIENTE,DELL 3060,22 / 22,0,0%,0,0
306_CO_CUH,EL HIJO DEL AHUIZOTE,COYOACAN,CENTRO,,0 / 0,0,0%,0,0
173_IZ_IZP,EL MOLINO,IZTAPALAPA,ORIENTE,HP 705,20 / 40,1,0%,0,0
138_IZ_IZP,EL MOLINO TEZONCO,IZTAPALAPA,ORIENTE,HP 705,20 / 40,1,0%,0,0
304_SP_COY,EL PARIAN,CUAUHTEMOC,SUR PONIENTE,DELL 5090 (24) / HP 705 (8),29 / 32,0,0%,0,0
084_SP_COY,EL RELOJ,COYOACAN,SUR PONIENTE,HP 705,14 / 30,0,0%,0,0
260_NT_AZC,EL ROSARIO,AZCAPOTZALCO,NORTE,DELL 5000,40 / 40,0,0%,0,0
116_NT_GAM,EL VIVERO,GUSTAVO A. MADERO,NORTE,HP 705,3 / 40,0,0%,0,0
021_SP_COY,EMILIANO ZAPATA,COYOACAN,SUR PONIENTE,HP 280,10 / 40,1,0%,0,0
088_IZ_IZP,EMILIO ROSAS,IZTAPALAPA,ORIENTE,HP 705,10 / 37,1,0%,0,0
074_IZ_IZP,ESCUADRÓN 201,IZTAPALAPA,ORIENTE,HP 705,5 / 23,0,0%,0,0
162_NT_GAM,ESTRELLA,GUSTAVO A. MADERO,NORTE,HP 705,10 / 30,0,0%,0,0
197_CO_CUH,EVANGELINA CORONA,CUAUHTEMOC,CENTRO,DELL 5090,40 / 40,0,0%,0,0
026_IZ_IZP,FACUNDO CABRAL,IZTAPALAPA,ORIENTE,HP 280,10 / 40,4,0%,0,0
156_NT_AZC,FARO AZCAPOTZALCO,AZCAPOTZALCO,NORTE,HP 705,20 / 36,1,0%,0,0
