CLAVE_ID,PILARES,ALCALDIA,ZONA,MODELO,EQUIPOS 8GB,INACTIVOS,% PASTA,MOUSE,TECLADOS
224_IZ_IZP,LOMAS DE LA ESTANCIA,IZTAPALAPA,ORIENTE,HP 705,35 / 40,0,0%,0,0
091_IZ_IZP,LOMAS DE ZARAGOZA,IZTAPALAPA,ORIENTE,HP 705,10 / 22,0,0%,0,0
288_IZ_IZP,LOS ÁNGELES,IZTAPALAPA,ORIENTE,DELL 5000,12 / 12,0,0%,0,0
107_NT_GAM,MAGDALENA DE LAS SALINAS,GUSTAVO A. MADERO,NORTE,HP 705,20 / 31,0,0%,0,0
205_NT_GAM,MALACATES,GUSTAVO A. MADERO,NORTE,DELL 5000,40 / 40,0,0%,0,0
297_IZ_IZP,MARCELINO BUENDÍA,IZTAPALAPA,ORIENTE,HP 705,20 / 23,0,0%,0,0
035_NT_AZC,MARGARITA MAZA DE JUÁREZ,AZCAPOTZALCO,NORTE,,0 / 0,0,0%,0,0
130_PT_AOB,MARTHA PÉREZ BEJARANO,ALVARO OBREGON,PONIENTE,HP 705,5 / 40,0,0%,0,0
206_NT_GAM,MARTÍN CARRERA,GUSTAVO A. MADERO,NORTE,DELL 5090 (30)  / HP 705 (10),39 / 40,0,0%,0,0
240_SP_TLP,METROPOLITANA,TLALPAN,SUR PONIENTE,DELL 5090,39 / 40,2,0%,0,0
259_PT_AOB,MIGUEL GAONA ARMENTA,ALVARO OBREGON,PONIENTE,HP 705,0 / 40,1,0%,0,0
085_SU_TLH,MIGUEL HIDALGO,TLAHUAC,SUR,HP 705,26 / 26,1,0%,0,0
070_SU_TLH,MIXQUIC,TLAHUAC,SUR,HP 705,10 / 26,0,0%,0,0
054_CO_BEJ,MUNICIPIO LIBRE,BENITO JUAREZ,CENTRO,HP 705,10 / 21,0,0%,0,0
086_SU_TLH,MURCIÉLAGO,TLAHUAC,SUR,HP 705,21 / 28,0,0%,0,0
251_SU_XOC,MUYUGUARDA,XOCHIMILCO,SUR,HP 705,35 / 35,1,0%,0,0
064_IZ_IZP,NOGAL,IZTAPALAPA,ORIENTE,HP 705,8 / 22,0,0%,0,0
146_SU_TLH,NOPALERA,TLAHUAC,SUR,HP 705,15 / 15,0,0%,0,0
097_NT_GAM,NUEVA ATZACOALCO,GUSTAVO A. MADERO,NORTE,HP 705,10 / 22,3,0%,0,0
105_PT_AOB,OLIVAR DEL CONDE,ALVARO OBREGON,PONIENTE,HP 705,12 / 36,0,0%,0,0
178_PT_MIH,OTHÓN SALAZAR,MIGUEL HIDALGO,PONIENTE,HP 705,5 / 35,1,0%,0,0
051_IZ_IZP,PALMITAS,IZTAPALAPA,ORIENTE,HP 705,6 / 15,0,0%,0,0
082_SP_MAC,PARCELA,LA MAGDALENA CONTRERAS,SUR PONIENTE,HP 705,9 / 26,2,0%,0,0
132_CO_CUH,PARQUE ABASOLO,CUAUHTEMOC,CENTRO,HP 705,20 / 40,0,0%,0,0
267_IZ_IZP,PARQUE CUITLÁHUAC,IZTAPALAPA,ORIENTE,DELL 5090,30 / 30,0,0%,0,0
221_IZ_IZP,PARQUE NACIONAL,IZTAPALAPA,ORIENTE,HP 705,25 / 40,0,0%,0,0
174_IZ_IZP,PARQUE PATOLLI,IZTAPALAPA,ORIENTE,HP 705,11 / 27,0,0%,0,0
186_CO_VCA,PARQUE VELÓDROMO,VENUSTIANO CARRANZA,CENTRO,HP 705,4 / 40,4,0%,0,0
045_SU_TLH,PAULO FREIRÉ,TLAHUAC,SUR,HP 705,14 / 31,2,0%,0,0
152_CO_VCA,PELÓN OSUNA,VENUSTIANO CARRANZA,CENTRO,HP 705,10 / 40,4,0%,0,0
090_PT_MIH,PENSIL,MIGUEL HIDALGO,PONIENTE,HP 705,10 / 39,1,0%,0,0
117_CO_CUH,PERÚ 88,CUAUHTEMOC,CENTRO,HP 705,20 / 40,2,0%,0,0
258_PT_AOB,PILOTO,ALVARO OBREGON,PONIENTE,DELL 5000,32 / 32,0,0%,0,0
188_PT_AOB,PLATEROS I,ALVARO OBREGON,PONIENTE,DELL 5090,30 / 30,1,0%,0,0
175_IZ_IZP,PLAZA DE LOS JÓVENES,IZTAPALAPA,ORIENTE,HP 705,10 / 40,1,0%,0,0
063_PT_AOB,PRESIDENTES,ALVARO OBREGON,PONIENTE,HP 705,0 / 33,0,0%,0,0
225_IZ_IZP,PRESIDENTES DE MÉXICO,IZTAPALAPA,ORIENTE,HP 705,20 / 40,0,0%,0,0
102_NT_AZC,PRO HOGAR,AZCAPOTZALCO,NORTE,HP 705,10 / 28,0,0%,0,0
278_CO_VCA,PROGRESISTA,VENUSTIANO CARRANZA,CENTRO,HP 705,21 / 30,1,0%,0,0
210_NT_GAM,PROGRESO NACIONAL,GUSTAVO A. MADERO,NORTE,HP 705,40 / 40,0,0%,0,0
072_IZ_IZP,PROGRESO SUR,IZTAPALAPA,ORIENTE,HP 705,5 / 20,1,0%,0,0
211_NT_GAM,PROVIDENCIA,GUSTAVO A. MADERO,NORTE,DELL 5090,30 / 30,1,0%,0,0
